id,created_at,trip_day,trip_date,selection_json,secret_message,user_id,trip_name
0affff78-83ab-421b-9920-0c23a3d54e3b,2025-10-13 16:26:28.320652,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Semoga Perjalanan ini Menyenangkan,,
0b36fe94-b224-4544-974a-4d299e02d28c,2025-10-11 23:13:55.289933,Sabtu,2025-10-17,"[{""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Makan"", ""name"": ""KFC"", ""ideaId"": ""cdf4b977-9904-4db1-9e97-0c54be31d596"", ""subtype"": ""Fastfood""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Tomoro"", ""ideaId"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Kopi Kenangan"", ""ideaId"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Gameshoot Cirebon"", ""ideaId"": ""38ad3f69-322c-425b-89c8-d71eaad18099"", ""subtype"": ""Gaming Coffee""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}, {""cat"": ""Jalan"", ""name"": ""Kota Slawi"", ""ideaId"": ""01840b61-7e4f-4542-aace-765df29b6a0b"", ""subtype"": ""Slawi""}]",Semoga Perjalanan ini Menyenangkan,,
11c92516-8488-4273-86dd-4523759e9c8f,2025-10-13 16:26:36.267851,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Semoga Perjalanan ini Menyenangkan,,
15387cb3-77c6-48cd-beff-2dfdffa08276,2025-10-14 09:08:55.904718,Rabu,2025-10-21,"[{""name"": ""Starbucks"", ""idea_id"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}]",,anon,
16fc886f-75ab-4503-aec4-0a03ae2eeebe,2025-10-14 07:05:17.369196,Sabtu & Minggu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}]",Tidak ada pesan rahasia.,anon,Trip: Sabtu & Minggu - 18 Okt
1c538077-d777-4f0f-8dc7-380ace2e8e56,2025-10-14 15:35:55.31489,Jumat,2025-10-31,"[{""name"": ""Kopi Kenangan"", ""idea_id"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Starbucks"", ""idea_id"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Janji Jiwa"", ""idea_id"": ""5064cb74-4bb1-4ad8-8b01-a7b34eb9ea79"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Tomoro"", ""idea_id"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Fore"", ""idea_id"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""makan"", ""idea_id"": ""c49f5ca7-eb78-44e7-8dc8-5e3943c650ab"", ""subtype"": ""Nasi Goreng"", ""category"": ""Makan""}]",Tidak ada pesan rahasia.,anon,
21ab91ed-8ed6-4a83-8e1f-6e63081c8e7a,2025-10-13 10:24:27.978998,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Semoga Perjalanan ini Menyenangkan,,
2afe0635-c305-4c43-afe5-9ed80385d070,2025-10-14 09:15:47.958322,Jumat,2025-10-24,"[{""name"": ""Starbucks"", ""idea_id"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}]",Tidak ada pesan rahasia.,anon,
5af4859f-ef7b-4e44-a94e-78904a1867fa,2025-10-14 14:37:54.683481,Rabu,2025-10-15,"[{""name"": ""Kopi Kenangan"", ""idea_id"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Starbucks"", ""idea_id"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}]",Tidak ada pesan rahasia.,anon,
60750af8-7a69-43b5-b140-2ae689be6f7a,2025-10-14 06:54:00.654873,Sabtu & Minggu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}]",Tidak ada pesan rahasia.,anon,Trip: Sabtu & Minggu - 18 Okt
6a2efd22-96f6-41b7-8217-658900edd519,2025-10-13 10:19:40.190925,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}]",Semoga Perjalanan ini Menyenangkan,,
8009a6c3-b83e-4b65-9b4b-06efcaea1cc2,2025-10-14 13:50:44.9519,Selasa,2025-10-14,"[{""name"": ""Nasi Goreng Arang"", ""idea_id"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng"", ""category"": ""Makan""}, {""name"": ""Kopi Kenangan"", ""idea_id"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Starbucks"", ""idea_id"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}]",Tidak ada pesan rahasia.,anon,
87abf63f-2ad2-4b51-b685-7de1220fa24a,2025-10-14 08:29:30.242713,Rabu,2025-10-22,"[{""name"": ""Nasi Goreng Arang"", ""idea_id"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng"", ""category"": ""Makan""}]",Tidak ada pesan rahasia.,anon,
8f6dabbd-d984-4906-b5e6-50437a13627a,2025-10-14 05:48:24.086887,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Tidak ada pesan rahasia.,anon,Trip: Minggu - 19 Okt
946fa50b-ae4c-4f02-a6b2-d7ab951ee536,2025-10-13 18:20:52.241405,Minggu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Tidak ada pesan rahasia.,anon,Trip: Minggu - 19 Okt
b21e401e-3256-4b26-9f69-346e5ff9e290,2025-10-14 07:38:36.707512,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Tomoro"", ""ideaId"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Kopi Kenangan"", ""ideaId"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Starbucks"", ""ideaId"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Janji Jiwa"", ""ideaId"": ""5064cb74-4bb1-4ad8-8b01-a7b34eb9ea79"", ""subtype"": ""Kopi / Coffee Shop""}]",Tidak ada pesan rahasia.,anon,Trip: Sabtu - 18 Okt
b8f2b3c7-11ce-4da6-a9ef-93caeab2f39c,2025-10-13 00:46:50.183393,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}]",Semoga Perjalanan ini Menyenangkan,,
be42961f-3bbe-4967-89b4-db5fb5135223,2025-10-14 12:23:37.993169,Senin,2025-10-27,"[{""name"": ""Nasi Goreng Krucuk"", ""idea_id"": ""c7faa8cb-7124-4831-819a-edb8b295452b"", ""subtype"": ""Nasi Goreng"", ""category"": ""Makan""}, {""name"": ""Kopi Kenangan"", ""idea_id"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}]",Tidak ada pesan rahasia.,anon,
c8c68ccf-4309-4851-aff3-e9911ed4caad,2025-10-13 10:24:47.721161,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Semoga Perjalanan ini Menyenangkan,,
cd5a471d-cfec-43c6-a267-3916d4e85228,2025-10-14 06:53:19.325579,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Tomoro"", ""ideaId"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}]",Tidak ada pesan rahasia.,anon,Trip: Minggu - 19 Okt
d8f158ef-b8e1-4865-a83e-baab46dd1aa5,2025-10-11 22:53:45.27355,Sabtu,2025-10-17,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Makan"", ""name"": ""KFC"", ""ideaId"": ""cdf4b977-9904-4db1-9e97-0c54be31d596"", ""subtype"": ""Fastfood""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Tomoro"", ""ideaId"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Kopi Kenangan"", ""ideaId"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Gameshoot Cirebon"", ""ideaId"": ""38ad3f69-322c-425b-89c8-d71eaad18099"", ""subtype"": ""Gaming Coffee""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}, {""cat"": ""Jalan"", ""name"": ""Kota Slawi"", ""ideaId"": ""01840b61-7e4f-4542-aace-765df29b6a0b"", ""subtype"": ""Slawi""}]",Semoga Perjalanan ini Menyenangkan,,
de033042-782c-42e1-bb2e-d5d87108f311,2025-10-13 10:28:58.80749,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Krucuk"", ""ideaId"": ""c7faa8cb-7124-4831-819a-edb8b295452b"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Tomoro"", ""ideaId"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Kopi Kenangan"", ""ideaId"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Starbucks"", ""ideaId"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Janji Jiwa"", ""ideaId"": ""5064cb74-4bb1-4ad8-8b01-a7b34eb9ea79"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}]",,,
e295de78-5f42-4f4a-9c0a-40b0f2f1daca,2025-10-14 15:25:06.468458,Kamis,2025-10-30,"[{""name"": ""Kopi Kenangan"", ""idea_id"": ""713da2e2-a056-4bf5-9f73-41b8d8e84ca4"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Starbucks"", ""idea_id"": ""aa7a1c13-b0ec-4af9-bf46-00eb7c8a1e9e"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Janji Jiwa"", ""idea_id"": ""5064cb74-4bb1-4ad8-8b01-a7b34eb9ea79"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Tomoro"", ""idea_id"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}, {""name"": ""Fore"", ""idea_id"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop"", ""category"": ""Nongkrong Santai""}]",Tidak ada pesan rahasia.,anon,
e4d5a2da-fd84-408d-a421-f58ec2d4dc00,2025-10-13 10:28:38.376127,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Krucuk"", ""ideaId"": ""c7faa8cb-7124-4831-819a-edb8b295452b"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}]",,,
e7122940-14cc-4eb0-92a0-d55d5d5eb142,2025-10-14 06:50:35.891517,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Tomoro"", ""ideaId"": ""6e188a9c-58ba-4efc-91a6-38e7149d0b6b"", ""subtype"": ""Kopi / Coffee Shop""}, {""cat"": ""Jalan"", ""name"": ""Alun-Alun Tegal"", ""ideaId"": ""f11736e4-a6ec-41e5-89c5-ec893b8768ff"", ""subtype"": ""Tegal""}]",Tidak ada pesan rahasia.,anon,Trip: Minggu - 19 Okt
fe88b75f-593c-43ff-b0e5-f621de253b65,2025-10-13 10:19:56.758249,Sabtu,2025-10-18,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Semoga Perjalanan ini Menyenangkan,,
ffa9ff58-f582-46a5-b87e-3c763ba7922c,2025-10-13 16:27:07.424346,Minggu,2025-10-19,"[{""cat"": ""Makan"", ""name"": ""Nasi Goreng Arang"", ""ideaId"": ""045030ea-5f9a-404b-9380-5cd330b873af"", ""subtype"": ""Nasi Goreng""}, {""cat"": ""Makan"", ""name"": ""Tom Sushi"", ""ideaId"": ""bea3d837-f79f-44b7-bb48-582093d14210"", ""subtype"": ""Sushi""}, {""cat"": ""Nongkrong Santai"", ""name"": ""Fore"", ""ideaId"": ""a103a969-ab86-45a4-a8fb-2328704b653f"", ""subtype"": ""Kopi / Coffee Shop""}]",Semoga Perjalanan ini Menyenangkan,,